bank,filename,href,parsed
unicredit,Kонсолидирани Финансови отчети за 2011 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/4b/c6/4bc60498-2a4b-4884-a2de-9652294cea01/unicredit-bulbank-consolidated-annual-report-2011.pdf,03:10.0
unicredit,Kонсолидирани Финансови отчети за 2012 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/82/c5/82c54e9b-c9d7-43e5-aa82-2ab25a90e83a/unicredit-bulbank-consolidated-annual-report-2012.pdf,03:10.0
unicredit,Kонсолидирани Финансови отчети за 2013 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/7d/13/7d139428-41db-4d55-b9b8-b41f200f2de9/unicredit-bulbank-consolidated-annual-report-2013.pdf,03:10.0
unicredit,Kонсолидирани Финансови отчети за 2014 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/81/f8/81f866c1-9a0b-48aa-a596-9de251e26416/unicredit-bulbank-consolidated-annual-report-2014.pdf,03:10.0
unicredit,Kонсолидирани Финансови отчети за 2015 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/1b/ce/1bcea6fe-0b03-4758-a9a2-490797b02d65/unicredit-bulbank-consolidated-annual-report-2015.pdf,03:10.0
unicredit,Годишен отчет на УниКредит Булбанк за 2008 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/3c/34/3c342c22-6228-45c9-9fc9-e7e096d38097/unicredit-bulbank-annual-report-2008.pdf,03:10.0
unicredit,Годишен отчет на УниКредит Булбанк за 2010 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/9c/24/9c24a8c1-a1e0-46b1-b115-7adf92910225/unicredit-bulbank-annual-report-2010.pdf,03:10.0
unicredit,Годишен отчет на УниКредит Булбанк за 2011 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/cb/6a/cb6a3ac6-ebe6-4e3a-91bf-6ff1b318f581/unicredit-bulbank-annual-report-2011.pdf,03:10.0
unicredit,Годишен отчет на УниКредит Булбанк за 2012 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/80/9e/809ef316-786e-4a51-b7b9-fb729a41dcf1/unicredit-bulbank-annual-report-2012.pdf,03:10.0
unicredit,Годишен отчет на УниКредит Булбанк за 2013 година.pdf,https://www.unicreditbulbank.bg/media/filer_public/31/2e/312e052c-3f3f-43fc-8f88-a0d9e4f9807c/unicredit-bulbank-annual-report-2013.pdf,03:10.0
unicredit,Годишен отчет на УниКредит Булбанк за 2014 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/a1/ce/a1ce3555-4da0-4bff-aef4-90885645f3bd/unicredit-bulbank-annual-report-2014.pdf,03:10.0
unicredit,Годишен отчет на УниКредит Булбанк за 2015 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/3c/5e/3c5e9e83-03f2-4f44-8085-e577fb7b3945/unicredit-bulbank-annual-report-2015.pdf,03:10.0
unicredit,Годишен отчет на УниКредит Булбанк за 2016 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/2f/cc/2fcc751e-d671-4821-aa17-dd1b9114160b/annual_report_2016_bg_bookcovers_final.pdf,03:10.0
unicredit,Годишен отчет на УниКредит Булбанк за 2017 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/32/4e/324edae4-8e0c-4ea7-aab1-5c52c4469676/annual_report_2017_bg_book.pdf,03:10.0
unicredit,Годишен отчет на УниКредит Булбанк за 2018 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/36/20/3620df71-cbda-4971-b2ce-357934b212a1/annual_report_2018_bg_bookcover.pdf,03:10.0
unicredit,Годишен отчет на УниКредит Булбанк за 2019 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/f7/b7/f7b7eb82-7f50-47fa-ad1d-cd4eee725b66/ucb-annual-report-2019-bg.pdf,03:10.0
unicredit,Годишен отчет на УниКредит Булбанк за 2020 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/fb/b0/fbb06e75-f30e-42b8-aaee-0833484abc34/ucb_ar2020_all_digital_bg_a4_02.pdf,03:10.0
unicredit,Годишен отчет на УниКредит Булбанк за 2021 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/d7/0c/d70cc559-9920-4971-9e08-047258408a9b/ucb_ar2021_all_digital_bg_a4_01.pdf,03:10.0
unicredit,Годишен отчет на УниКредит Булбанк за 2022 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/25/70/25703b2e-6904-4e17-a46a-15ff51ce486a/unikredit_bulbank_godishen_otchet_2022.pdf,03:10.0
unicredit,Годишно оповествяване 2011 г. на консолидирана основа.pdf,https://www.unicreditbulbank.bg/media/filer_public/af/22/af2265df-0c9e-4ab2-8d5a-6988684f4656/unicredit-bulbank-consolidated-annual-disclosure-2011.pdf,03:10.0
unicredit,Годишно оповествяване 2011 г. на неконсолидирана основа.pdf,https://www.unicreditbulbank.bg/media/filer_public/5d/85/5d85cb90-67da-4e8f-9201-cdb7efe68477/unicredit-bulbank-unconsolidated-annual-disclosure-2011.pdf,03:10.0
unicredit,Годишно оповествяване 2012 г. на консолидирана основа.pdf,https://www.unicreditbulbank.bg/media/filer_public/5c/74/5c74ba05-4ea1-49ed-beb0-204c3d7c4965/unicredit-bulbank-consolidated-annual-disclosure-2012.pdf,03:10.0
unicredit,Годишно оповествяване 2012 г. на неконсолидирана основа.pdf,https://www.unicreditbulbank.bg/media/filer_public/86/39/86396b26-61c1-4bc3-bf7d-1067272cc287/unicredit-bulbank-unconsolidated-annual-disclosure-2012.pdf,03:10.0
unicredit,Годишно оповествяване 2013 година на консолидирана основа.pdf,https://www.unicreditbulbank.bg/media/filer_public/74/4f/744f35f1-fe22-48e8-9743-f5668b4c8561/unicredit-bulbank-consolidated-annual-disclosure-2013.pdf,03:10.0
unicredit,Годишно оповествяване 2014 г. на консолидирана основа.pdf,https://www.unicreditbulbank.bg/media/filer_public/3c/5a/3c5aa322-43d0-4f78-a6cc-08c017b9c4eb/unicredit-bulbank-consolidated-annual-disclosure-2014.pdf,03:10.0
unicredit,Годишно оповествяване 2014 г. на неконсолидирана основа.pdf,https://www.unicreditbulbank.bg/media/filer_public/1e/0e/1e0ea7f2-4d70-49df-ad55-a0a7f153fd06/unicredit-bulbank-unconsolidated-annual-disclosure-2014.pdf,03:10.0
unicredit,Годишно оповествяване 2015 г. на консолидирана основа.pdf,https://www.unicreditbulbank.bg/media/filer_public/93/e0/93e031f5-d26a-4620-8cad-9500e12079fe/unicredit-bulbank-consolidated-annual-disclosure-2015.pdf,03:10.0
unicredit,Годишно оповествяване 2015 г. на неконсолидирана основа.pdf,https://www.unicreditbulbank.bg/media/filer_public/e1/6e/e16e9f9f-7415-4919-8a98-065160501f26/unicredit-bulbank-unconsolidated-annual-disclosure-2015.pdf,03:10.0
unicredit,Годишно оповестяване 2008 г. на консолидирана основа.pdf,https://www.unicreditbulbank.bg/media/filer_public/f1/cf/f1cf6797-5e49-40e1-9a59-f5a836aabbb9/unicredit-bulbank-consolidated-annual-disclosure-2008.pdf,03:10.0
unicredit,Годишно оповестяване 2008 г. на неконсолидирана основа.pdf,https://www.unicreditbulbank.bg/media/filer_public/e4/1e/e41e4296-117f-4907-b8a5-99742b07126e/unicredit-bulbank-unconsolidated-annual-disclosure-2008.pdf,03:10.0
unicredit,Годишно оповестяване 2010 г. на консолидирана основа.pdf,https://www.unicreditbulbank.bg/media/filer_public/27/c7/27c7f294-f4ae-4e8f-8986-ba72c82d8f9c/unicredit-bulbank-consolidated-annual-disclosure-2010.pdf,03:10.0
unicredit,Годишно оповестяване 2010 г. на неконсолидирана основа.pdf,https://www.unicreditbulbank.bg/media/filer_public/f6/92/f692855f-655e-4bca-ad7b-b7af6f6ffe86/unicredit-bulbank-unconsolidated-annual-disclosure-2010.pdf,03:10.0
